group,id,day,size
Grp. A1 B6 (100% C1),424,7,1.0
Grp. A1 B6 (100% C1),424,10,1.414649240445315
Grp. A1 B6 (100% C1),424,14,1.8193360699070187
Grp. A1 B6 (100% C1),424,17,3.819556783903971
Grp. A1 B6 (100% C1),424,21,4.379808575893273
Grp. A1 B6 (100% C1),424,24,4.086729988804926
Grp. A1 B6 (100% C1),424,28,4.285795549958018
Grp. A1 B6 (100% C1),424,31,4.568845818950773
Grp. A1 B6 (100% C1),424,35,4.596368986534814
Grp. A1 B6 (100% C1),424,38,5.214262524489224
Grp. A1 B6 (100% C1),424,42,6.740936110333675
Grp. A1 B6 (100% C1),424,45,9.523077790216748
Grp. A1 B6 (100% C1),424,49,12.152027630064994
Grp. A1 B6 (100% C1),424,52,19.368416596697454
Grp. A1 B6 (100% C1),425,7,1.0
Grp. A1 B6 (100% C1),425,10,2.5003399569521343
Grp. A1 B6 (100% C1),425,14,2.227700017635178
Grp. A1 B6 (100% C1),425,17,2.563371264830897
Grp. A1 B6 (100% C1),425,21,2.165456089052331
Grp. A1 B6 (100% C1),425,24,1.1985968096542827
Grp. A1 B6 (100% C1),425,28,1.8046468464246903
Grp. A1 B6 (100% C1),425,31,2.19698288122921
Grp. A1 B6 (100% C1),425,35,3.6884982905212524
Grp. A1 B6 (100% C1),425,38,4.670457212395007
Grp. A1 B6 (100% C1),425,42,4.642245391652707
Grp. A1 B6 (100% C1),425,45,5.665508071141082
Grp. A1 B6 (100% C1),425,49,5.825167528173231
Grp. A1 B6 (100% C1),425,52,7.007260030119632
Grp. A1 B6 (100% C1),425,56,8.85343361773477
Grp. A1 B6 (100% C1),425,59,10.056817418662911
Grp. A1 B6 (100% C1),425,63,14.350573464958853
Grp. A1 B6 (100% C1),425,66,14.539931730263048
Grp. A1 B6 (100% C1),425,70,21.19117738676072
Grp. A1 B6 (100% C1),425,73,22.22489335684661
Grp. A1 B6 (100% C1),425,77,28.946529785824385
Grp. A1 B6 (100% C1),425,80,30.295364919843095
Grp. A1 B6 (100% C1),425,84,39.320642788780084
Grp. A1 B6 (100% C1),425,87,49.99200738458581
Grp. A1 B6 (100% C1),426,7,1.0
Grp. A1 B6 (100% C1),426,10,2.219276766947766
Grp. A1 B6 (100% C1),426,14,2.5316116552373233
Grp. A1 B6 (100% C1),426,17,3.6328009813122497
Grp. A1 B6 (100% C1),426,21,3.6645711000311034
Grp. A1 B6 (100% C1),426,24,3.640475449913983
Grp. A1 B6 (100% C1),426,28,3.6050420168067223
Grp. A1 B6 (100% C1),426,31,4.7103795852582335
Grp. A1 B6 (100% C1),426,35,6.145030805143721
Grp. A1 B6 (100% C1),426,38,8.432825201062638
Grp. A1 B6 (100% C1),426,42,8.592873738182982
Grp. A1 B6 (100% C1),426,45,9.371266051685856
Grp. A1 B6 (100% C1),426,49,11.898909639965584
Grp. A1 B6 (100% C1),427,7,1.0
Grp. A1 B6 (100% C1),427,10,1.5959348759192091
Grp. A1 B6 (100% C1),427,14,2.1192482483219286
Grp. A1 B6 (100% C1),427,17,3.058403855049867
Grp. A1 B6 (100% C1),427,21,3.184622698891896
Grp. A1 B6 (100% C1),427,24,3.085668909070102
Grp. A1 B6 (100% C1),427,28,3.0647136629964273
Grp. A1 B6 (100% C1),427,31,3.175425236115596
Grp. A1 B6 (100% C1),427,35,3.638297872340426
Grp. A1 B6 (100% C1),427,38,4.589886541418498
Grp. A1 B6 (100% C1),427,42,4.676788912666257
Grp. A1 B6 (100% C1),427,45,6.02618835651582
Grp. A1 B6 (100% C1),427,49,7.952821952164329
Grp. A1 B6 (100% C1),427,52,8.969373086968039
Grp. A1 B6 (100% C1),427,56,11.110730064306349
Grp. A1 B6 (100% C1),427,59,15.18942863156917
Grp. A1 B6 (100% C1),427,63,19.57592248637607
Grp. A1 B6 (100% C1),427,66,21.77322891588274
Grp. A1 B6 (100% C1),427,70,27.05175329586383
Grp. A1 B6 (100% C1),428,7,1.0
Grp. A1 B6 (100% C1),428,10,2.8471748010014957
Grp. A1 B6 (100% C1),428,14,3.1282025757679275
Grp. A1 B6 (100% C1),428,17,3.382067348382785
Grp. A1 B6 (100% C1),428,21,2.126187024217762
Grp. A1 B6 (100% C1),428,24,1.1911037598340812
Grp. A1 B6 (100% C1),428,28,1.2234746788641637
Grp. A1 B6 (100% C1),428,31,1.630078521782666
Grp. A1 B6 (100% C1),428,35,1.7169137036276316
Grp. A1 B6 (100% C1),428,38,1.752313055202755
Grp. A1 B6 (100% C1),428,42,1.6800348889912384
Grp. A1 B6 (100% C1),428,45,1.679583689935405
Grp. A1 B6 (100% C1),428,49,1.6714303710522236
Grp. A1 B6 (100% C1),428,52,1.6999669871433591
Grp. A1 B6 (100% C1),428,56,1.691238031155688
Grp. A1 B6 (100% C1),428,59,1.502304272608284
Grp. A1 B6 (100% C1),428,63,1.5412892665488325
Grp. A1 B6 (100% C1),428,66,1.674420494243467
Grp. A1 B6 (100% C1),428,70,1.945697056742457
Grp. A1 B6 (100% C1),428,73,1.945697056742457
Grp. A1 B6 (100% C1),428,77,2.1009577015163607
Grp. A1 B6 (100% C1),428,80,2.087105233154714
Grp. A1 B6 (100% C1),428,84,2.764793068065215
Grp. A1 B6 (100% C1),428,87,3.402382486191929
Grp. A1 B6 (100% C1),428,91,3.808762022725259
Grp. A1 B6 (100% C1),428,94,4.4612803966672265
Grp. A1 B6 (100% C1),428,98,6.164164390555833
Grp. A1 B6 (100% C1),428,101,8.290369168545853
Grp. A1 B6 (100% C1),428,105,9.85098192100234
Grp. A1 B6 (100% C1),429,7,1.0
Grp. A1 B6 (100% C1),429,10,1.8294415526928367
Grp. A1 B6 (100% C1),429,14,2.9127797108921643
Grp. A1 B6 (100% C1),429,17,3.4245715667679186
Grp. A1 B6 (100% C1),429,21,3.4155849666947815
Grp. A1 B6 (100% C1),429,24,3.229136961672209
Grp. A1 B6 (100% C1),429,28,3.313982209765769
Grp. A1 B6 (100% C1),429,31,4.502309148796034
Grp. A1 B6 (100% C1),429,35,6.624724628426138
Grp. A1 B6 (100% C1),429,38,6.903388136930852
Grp. A2 B6 (80% C1; 20% C11),430,7,1.0
Grp. A2 B6 (80% C1; 20% C11),430,10,1.6282102535612173
Grp. A2 B6 (80% C1; 20% C11),430,14,2.396260115195096
Grp. A2 B6 (80% C1; 20% C11),430,17,2.8611860627658974
Grp. A2 B6 (80% C1; 20% C11),430,21,2.859868841767817
Grp. A2 B6 (80% C1; 20% C11),430,24,2.896601102120798
Grp. A2 B6 (80% C1; 20% C11),430,28,2.9640497672188344
Grp. A2 B6 (80% C1; 20% C11),430,31,4.727511516668408
Grp. A2 B6 (80% C1; 20% C11),430,35,5.80813971328424
Grp. A2 B6 (80% C1; 20% C11),430,38,6.791407007082439
Grp. A2 B6 (80% C1; 20% C11),430,42,8.202606073772245
Grp. A2 B6 (80% C1; 20% C11),430,45,9.302007062769832
Grp. A2 B6 (80% C1; 20% C11),431,7,1.0
Grp. A2 B6 (80% C1; 20% C11),431,10,1.321510213928159
Grp. A2 B6 (80% C1; 20% C11),431,14,1.8866440123869377
Grp. A2 B6 (80% C1; 20% C11),431,17,3.066320993877992
Grp. A2 B6 (80% C1; 20% C11),431,21,3.3269923240730557
Grp. A2 B6 (80% C1; 20% C11),431,24,3.051235054301278
Grp. A2 B6 (80% C1; 20% C11),431,28,1.801680427558327
Grp. A2 B6 (80% C1; 20% C11),431,31,1.747562380963724
Grp. A2 B6 (80% C1; 20% C11),431,35,2.330956388059897
Grp. A2 B6 (80% C1; 20% C11),431,38,3.1727187954252485
Grp. A2 B6 (80% C1; 20% C11),431,42,3.219669991038441
Grp. A2 B6 (80% C1; 20% C11),431,45,4.058585041665129
Grp. A2 B6 (80% C1; 20% C11),431,49,4.854868770527811
Grp. A2 B6 (80% C1; 20% C11),431,52,6.787154193953648
Grp. A2 B6 (80% C1; 20% C11),431,56,8.605278674308018
Grp. A2 B6 (80% C1; 20% C11),431,59,10.703413582451326
Grp. A2 B6 (80% C1; 20% C11),431,63,12.240288101359477
Grp. A2 B6 (80% C1; 20% C11),431,66,16.832393032361736
Grp. A2 B6 (80% C1; 20% C11),431,70,21.732042622401014
Grp. A2 B6 (80% C1; 20% C11),431,73,27.23525803130975
Grp. A2 B6 (80% C1; 20% C11),431,77,47.42938067493836
Grp. A2 B6 (80% C1; 20% C11),432,7,1.0
Grp. A2 B6 (80% C1; 20% C11),432,10,1.4545005401955469
Grp. A2 B6 (80% C1; 20% C11),432,14,1.6458616407334357
Grp. A2 B6 (80% C1; 20% C11),432,17,1.927805075915737
Grp. A2 B6 (80% C1; 20% C11),432,21,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,24,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,28,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,31,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,35,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,38,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,42,0.004272009070329658
Grp. A2 B6 (80% C1; 20% C11),432,45,0.6294952535843223
Grp. A2 B6 (80% C1; 20% C11),432,49,1.9544731993374969
Grp. A2 B6 (80% C1; 20% C11),432,52,2.7122568639437734
Grp. A2 B6 (80% C1; 20% C11),432,56,3.0330184435447594
Grp. A2 B6 (80% C1; 20% C11),432,59,3.3499386325897045
Grp. A2 B6 (80% C1; 20% C11),432,63,3.643812272542217
Grp. A2 B6 (80% C1; 20% C11),432,66,4.698097418040438
Grp. A2 B6 (80% C1; 20% C11),432,70,5.157803657608725
Grp. A2 B6 (80% C1; 20% C11),432,73,4.805965091705082
Grp. A2 B6 (80% C1; 20% C11),432,77,6.117239479002861
Grp. A2 B6 (80% C1; 20% C11),432,80,6.309034765182614
Grp. A2 B6 (80% C1; 20% C11),432,84,9.007392028174754
Grp. A2 B6 (80% C1; 20% C11),432,87,10.264851746333227
Grp. A2 B6 (80% C1; 20% C11),432,91,11.838430395515415
Grp. A2 B6 (80% C1; 20% C11),432,94,15.899221746747612
Grp. A2 B6 (80% C1; 20% C11),432,98,20.935724804010903
Grp. A2 B6 (80% C1; 20% C11),432,101,34.27347436944078
Grp. A2 B6 (80% C1; 20% C11),432,105,49.92445165559575
Grp. A2 B6 (80% C1; 20% C11),433,7,1.0
Grp. A2 B6 (80% C1; 20% C11),433,10,1.957847143579611
Grp. A2 B6 (80% C1; 20% C11),433,14,2.810742624859416
Grp. A2 B6 (80% C1; 20% C11),433,17,2.8955982435128833
Grp. A2 B6 (80% C1; 20% C11),433,21,2.577758380918984
Grp. A2 B6 (80% C1; 20% C11),433,24,2.1209595719578407
Grp. A2 B6 (80% C1; 20% C11),433,28,2.163671113058186
Grp. A2 B6 (80% C1; 20% C11),433,31,2.284965032129438
Grp. A2 B6 (80% C1; 20% C11),433,35,2.832138832940224
Grp. A2 B6 (80% C1; 20% C11),433,38,2.9429338755442895
Grp. A2 B6 (80% C1; 20% C11),433,42,3.0560352056501356
Grp. A2 B6 (80% C1; 20% C11),433,45,3.1120957949996217
Grp. A2 B6 (80% C1; 20% C11),433,49,3.251067656236264
Grp. A2 B6 (80% C1; 20% C11),433,52,4.200854644016729
Grp. A2 B6 (80% C1; 20% C11),433,56,5.128601930718234
Grp. A2 B6 (80% C1; 20% C11),433,59,6.72113386795351
Grp. A2 B6 (80% C1; 20% C11),433,63,9.638524159280523
Grp. A2 B6 (80% C1; 20% C11),433,66,10.621665368556718
Grp. A2 B6 (80% C1; 20% C11),433,70,13.647174283344368
Grp. A2 B6 (80% C1; 20% C11),433,73,16.313981033429602
Grp. A2 B6 (80% C1; 20% C11),433,77,19.803200097836726
Grp. A2 B6 (80% C1; 20% C11),433,80,20.90082694091226
Grp. A2 B6 (80% C1; 20% C11),433,84,21.771378021836146
Grp. A2 B6 (80% C1; 20% C11),433,87,22.262037550357853
Grp. A2 B6 (80% C1; 20% C11),433,91,23.407381936602714
Grp. A2 B6 (80% C1; 20% C11),433,94,30.902910553358158
Grp. A2 B6 (80% C1; 20% C11),433,98,33.447474090785086
Grp. A2 B6 (80% C1; 20% C11),433,101,40.1678795155006
