Group,ID,Color
Grp. A1 B6 (100% C1),424,#e41a1c
Grp. A1 B6 (100% C1),425,#377eb8
Grp. A1 B6 (100% C1),426,#984ea3
Grp. A1 B6 (100% C1),427,#ffff33
Grp. A1 B6 (100% C1),428,#f781bf
Grp. A1 B6 (100% C1),429,#999999
Grp. A2 B6 (80% C1; 20% C11),430,#e41a1c
Grp. A2 B6 (80% C1; 20% C11),431,#377eb8
Grp. A2 B6 (80% C1; 20% C11),432,#984ea3
Grp. A2 B6 (80% C1; 20% C11),433,#ffff33
Grp. A2 B6 (80% C1; 20% C11),434,#f781bf
Grp. A2 B6 (80% C1; 20% C11),435,#999999
Grp. A3 B6 (50% C1; 50% C11),436,#e41a1c
Grp. A3 B6 (50% C1; 50% C11),437,#377eb8
Grp. A3 B6 (50% C1; 50% C11),438,#984ea3
Grp. A3 B6 (50% C1; 50% C11),439,#ffff33
Grp. A3 B6 (50% C1; 50% C11),440,#f781bf
Grp. A3 B6 (50% C1; 50% C11),441,#999999
Grp. A4 B6 (20% C1; 80% C11),442,#e41a1c
Grp. A4 B6 (20% C1; 80% C11),443,#377eb8
Grp. A4 B6 (20% C1; 80% C11),444,#984ea3
Grp. A4 B6 (20% C1; 80% C11),445,#ffff33
Grp. A4 B6 (20% C1; 80% C11),446,#f781bf
Grp. A4 B6 (20% C1; 80% C11),447,#999999
Grp. A5 B6 (100% C11),448,#e41a1c
Grp. A5 B6 (100% C11),449,#377eb8
Grp. A5 B6 (100% C11),450,#984ea3
Grp. A5 B6 (100% C11),451,#ffff33
Grp. A5 B6 (100% C11),452,#f781bf
Grp. A5 B6 (100% C11),453,#999999
Grp. B1 nude (100% C1),454,#e41a1c
Grp. B1 nude (100% C1),455,#377eb8
Grp. B1 nude (100% C1),456,#984ea3
Grp. B1 nude (100% C1),457,#ffff33
Grp. B1 nude (100% C1),458,#f781bf
Grp. B1 nude (100% C1),459,#999999
Grp. B2 nude (80% C1; 20% C11),460,#e41a1c
Grp. B2 nude (80% C1; 20% C11),461,#377eb8
Grp. B2 nude (80% C1; 20% C11),462,#984ea3
Grp. B2 nude (80% C1; 20% C11),463,#ffff33
Grp. B2 nude (80% C1; 20% C11),464,#f781bf
Grp. B2 nude (80% C1; 20% C11),465,#999999
Grp. B3 nude (50% C1; 50% C11),466,#e41a1c
Grp. B3 nude (50% C1; 50% C11),467,#377eb8
Grp. B3 nude (50% C1; 50% C11),468,#984ea3
Grp. B3 nude (50% C1; 50% C11),469,#ffff33
Grp. B3 nude (50% C1; 50% C11),470,#f781bf
Grp. B3 nude (50% C1; 50% C11),471,#999999
Grp. B4 nude (20% C1; 80% C11),472,#e41a1c
Grp. B4 nude (20% C1; 80% C11),473,#377eb8
Grp. B4 nude (20% C1; 80% C11),474,#984ea3
Grp. B4 nude (20% C1; 80% C11),475,#ffff33
Grp. B4 nude (20% C1; 80% C11),476,#f781bf
Grp. B4 nude (20% C1; 80% C11),477,#999999
Grp. B5 nude (100% C11),478,#e41a1c
Grp. B5 nude (100% C11),479,#377eb8
Grp. B5 nude (100% C11),480,#984ea3
Grp. B5 nude (100% C11),481,#ffff33
Grp. B5 nude (100% C11),482,#f781bf
Grp. B5 nude (100% C11),483,#999999
