group,id,b,d,rscore,last_day
Grp. A1 B6 (100% C1),424,0.06534803086842136,-0.5857878538946495,0.9044426053461756,52
Grp. A1 B6 (100% C1),425,0.05306770723071573,-0.750637592749552,0.9924457403840231,87
Grp. A1 B6 (100% C1),426,0.04544955536688108,0.24262427599838846,0.9647266214111474,49
Grp. A1 B6 (100% C1),427,0.05589456432015258,-0.6118574014189507,0.987059365482488,70
Grp. A1 B6 (100% C1),428,0.03190955290359855,-1.3001944199532092,0.630344020299622,105
Grp. A1 B6 (100% C1),429,0.04647647133236079,0.15933874519522742,0.8922685176408369,38
Grp. A2 B6 (80% C1; 20% C11),430,0.05113498348664894,-0.05846490530409042,0.9756374938782475,45
Grp. A2 B6 (80% C1; 20% C11),431,0.08380163947128189,-2.677512604273998,0.9698105168333502,77
Grp. A2 B6 (80% C1; 20% C11),432,0.0872459943304781,-5.30077580161997,0.9703964486804911,105
Grp. A2 B6 (80% C1; 20% C11),433,0.03750448966942672,-0.11699602794233703,0.9772657165660199,101
Grp. A2 B6 (80% C1; 20% C11),434,0.046941281609785834,-0.0447088086816324,0.9110867998439418,49
Grp. A2 B6 (80% C1; 20% C11),435,0.06015592403022884,-0.4125846006081345,0.9480320053586794,52
Grp. A3 B6 (50% C1; 50% C11),436,0.14361571076154467,-7.075713251852961,0.9962198361306914,77
Grp. A3 B6 (50% C1; 50% C11),437,0.046194165457870535,-0.7023910841596513,0.8276199548522224,59
Grp. A3 B6 (50% C1; 50% C11),438,0.17766599398058472,-18.224133489655596,-0.506617486586457,105
Grp. A3 B6 (50% C1; 50% C11),439,0.07555545017494233,-3.5207823588180966,0.9129354086391066,84
Grp. A3 B6 (50% C1; 50% C11),440,0.14482360222004387,-6.223416871282269,0.9634750890710161,63
Grp. A3 B6 (50% C1; 50% C11),441,0.1791135052948662,-13.997575633656332,0.9777217893568951,98
Grp. A4 B6 (20% C1; 80% C11),442,0.07488490736606188,-1.045318324124931,0.9324721181760293,45
Grp. A4 B6 (20% C1; 80% C11),443,0.05630180119155358,-1.4647692446291565,0.7614752065637169,56
Grp. A4 B6 (20% C1; 80% C11),444,0.19215259427426848,-8.645006398214528,0.9793229345444289,66
Grp. A4 B6 (20% C1; 80% C11),445,0.10867267743747384,-3.8677786912780383,0.9873493508266282,70
Grp. A4 B6 (20% C1; 80% C11),446,0.10728899573446432,-3.061182888134858,0.9498834348676467,56
Grp. A4 B6 (20% C1; 80% C11),447,0.09214449581990831,-2.333118105968696,0.979274423192411,66
Grp. A5 B6 (100% C11),448,0.14442407548118516,-2.060938571915828,0.9983848196789681,42
Grp. A5 B6 (100% C11),449,0.1322649819856227,-1.5405194956305737,0.9898747300082276,42
Grp. A5 B6 (100% C11),450,0.1258671001087954,-0.8782820527442398,0.9787889792523917,31
Grp. A5 B6 (100% C11),451,0.11141733772085753,-0.8640784378606643,0.9519819295649302,28
Grp. A5 B6 (100% C11),452,0.12575590621989563,-2.7415427876991574,0.98528486170461,52
Grp. A5 B6 (100% C11),453,0.12796734616038843,-1.7834632130932904,0.9959329925774218,42
Grp. B1 nude (100% C1),454,0.15499436980215114,-0.8339946411183624,0.9979240128410299,31
Grp. B1 nude (100% C1),455,0.15956030911525723,-0.37820771599123043,0.9918692920323858,28
Grp. B1 nude (100% C1),456,0.13415471568647322,-0.0054661747257663575,0.9800213799604118,24
Grp. B1 nude (100% C1),457,0.1677317592854912,-0.43633282077076185,0.9976941193470136,28
Grp. B1 nude (100% C1),458,0.1895589459996116,-0.7643070556147616,0.9863002825246168,17
Grp. B1 nude (100% C1),459,0.12330639214470505,0.2130542509046354,0.9866803866490081,31
Grp. B2 nude (80% C1; 20% C11),460,0.1107451308386722,0.18612923060850117,0.9693640922479225,31
Grp. B2 nude (80% C1; 20% C11),461,0.20039197941139802,-1.4690884499851662,0.9943551637927774,24
Grp. B2 nude (80% C1; 20% C11),462,0.16096360540074464,-0.23841019096538352,0.998482974991418,28
Grp. B2 nude (80% C1; 20% C11),463,0.14705966774147217,-0.4791474697993409,0.9991256449051833,31
Grp. B2 nude (80% C1; 20% C11),464,0.1821051713675568,-1.088393489147657,0.9948451345985143,17
Grp. B2 nude (80% C1; 20% C11),465,0.1790915342850285,-0.7729531727625734,0.9965133478642274,28
Grp. B3 nude (50% C1; 50% C11),466,0.1382165765740441,-0.46792807143071286,0.9920855473398624,31
Grp. B3 nude (50% C1; 50% C11),467,0.13981841796762254,0.0574905106847122,0.992806171986114,31
Grp. B3 nude (50% C1; 50% C11),468,0.1538751858765581,-0.476322203131492,0.9974536301446929,31
Grp. B3 nude (50% C1; 50% C11),469,0.11916075660512108,0.08254296781773575,0.9913032322499586,31
Grp. B3 nude (50% C1; 50% C11),470,0.17653522319385395,-0.8172240989520765,0.9981886117072584,28
Grp. B3 nude (50% C1; 50% C11),471,0.16447433399248956,-0.6078134883082743,0.9363989583139465,17
Grp. B4 nude (20% C1; 80% C11),472,0.15134731062013726,-0.6578624047436546,0.9959651927139282,31
Grp. B4 nude (20% C1; 80% C11),473,0.14221317497657954,-0.3568951687324264,0.9968275356355745,31
Grp. B4 nude (20% C1; 80% C11),474,0.1516833926954272,-0.6625994949084918,0.9923944356505643,21
Grp. B4 nude (20% C1; 80% C11),475,0.13152372439907764,-0.41498642787263895,0.9909211683763616,31
Grp. B4 nude (20% C1; 80% C11),476,0.15567992804835354,-0.7326015188257455,0.997442609104126,28
Grp. B4 nude (20% C1; 80% C11),477,0.12016783235490074,-0.1382459036798509,0.9938785137004448,31
Grp. B5 nude (100% C11),478,0.15367518072393602,-0.842648170469188,0.9990720588186466,24
Grp. B5 nude (100% C11),479,0.10273612237649288,-0.027795240124375065,0.9938726652420976,38
Grp. B5 nude (100% C11),480,0.11990827788261661,-0.22328122345775298,0.9983966671575059,38
Grp. B5 nude (100% C11),481,0.12839191546682124,-0.551372126225073,0.9963503924863272,35
Grp. B5 nude (100% C11),482,0.10363707905204124,-0.05272309563461316,0.9930534881110464,38
Grp. B5 nude (100% C11),483,0.17054407686504416,-1.6098912400753924,0.9904104872652276,28
